Action,Time,Sensor,
Open,"October 20, 2016 at 10:18PM",Wireless Lab door,
Closed,"October 20, 2016 at 10:18PM",Wireless Lab door,
Open,"October 21, 2016 at 04:13AM",Wireless Lab door,
Closed,"October 21, 2016 at 04:13AM",Wireless Lab door,
Open,"October 21, 2016 at 11:44AM",Wireless Lab door,
Movement,"October 21, 2016 at 11:44AM",Motion Sensor,
Closed,"October 21, 2016 at 11:44AM",Wireless Lab door,
Movement,"October 21, 2016 at 11:44AM",Motion Sensor,
Open,"October 21, 2016 at 11:44AM",Wireless Lab door,
Closed,"October 21, 2016 at 11:44AM",Wireless Lab door,
Open,"October 21, 2016 at 12:15PM",Wireless Lab door,
Movement,"October 21, 2016 at 12:15PM",Motion Sensor,
Closed,"October 21, 2016 at 12:15PM",Wireless Lab door,
Movement,"October 21, 2016 at 12:16PM",Motion Sensor,
Movement,"October 21, 2016 at 12:17PM",Motion Sensor,
Movement,"October 21, 2016 at 12:17PM",Motion Sensor,
Movement,"October 21, 2016 at 12:18PM",Motion Sensor,
Movement,"October 21, 2016 at 12:19PM",Motion Sensor,
Movement,"October 21, 2016 at 12:20PM",Motion Sensor,
Movement,"October 21, 2016 at 12:20PM",Motion Sensor,
Movement,"October 21, 2016 at 12:25PM",Motion Sensor,
Movement,"October 21, 2016 at 12:25PM",Motion Sensor,
Movement,"October 21, 2016 at 12:26PM",Motion Sensor,
Movement,"October 21, 2016 at 12:26PM",Motion Sensor,
Movement,"October 21, 2016 at 12:27PM",Motion Sensor,
Movement,"October 21, 2016 at 12:27PM",Motion Sensor,
Movement,"October 21, 2016 at 12:28PM",Motion Sensor,
Movement,"October 21, 2016 at 12:31PM",Motion Sensor,
Movement,"October 21, 2016 at 12:32PM",Motion Sensor,
Movement,"October 21, 2016 at 12:33PM",Motion Sensor,
Movement,"October 21, 2016 at 12:33PM",Motion Sensor,
Movement,"October 21, 2016 at 12:34PM",Motion Sensor,
Movement,"October 21, 2016 at 12:35PM",Motion Sensor,
Movement,"October 21, 2016 at 12:36PM",Motion Sensor,
Movement,"October 21, 2016 at 12:36PM",Motion Sensor,
Movement,"October 21, 2016 at 12:37PM",Motion Sensor,
Movement,"October 21, 2016 at 12:39PM",Motion Sensor,
Movement,"October 21, 2016 at 12:45PM",Motion Sensor,
Movement,"October 21, 2016 at 12:46PM",Motion Sensor,
Movement,"October 21, 2016 at 12:48PM",Motion Sensor,
Closed,"October 21, 2016 at 12:48PM",Wireless Lab door,
Open,"October 21, 2016 at 12:48PM",Wireless Lab door,
Closed,"October 21, 2016 at 12:48PM",Wireless Lab door,
Movement,"October 21, 2016 at 12:54PM",Motion Sensor,
Closed,"October 21, 2016 at 12:54PM",Wireless Lab door,
Movement,"October 21, 2016 at 12:55PM",Motion Sensor,
Movement,"October 21, 2016 at 12:55PM",Motion Sensor,
Movement,"October 21, 2016 at 12:55PM",Motion Sensor,
Movement,"October 21, 2016 at 12:56PM",Motion Sensor,
Movement,"October 21, 2016 at 12:56PM",Motion Sensor,
Movement,"October 21, 2016 at 12:57PM",Motion Sensor,
Movement,"October 21, 2016 at 12:58PM",Motion Sensor,
Movement,"October 21, 2016 at 01:00PM",Motion Sensor,
Movement,"October 21, 2016 at 01:01PM",Motion Sensor,
Movement,"October 21, 2016 at 01:02PM",Motion Sensor,
Movement,"October 21, 2016 at 01:02PM",Motion Sensor,
Movement,"October 21, 2016 at 01:03PM",Motion Sensor,
Movement,"October 21, 2016 at 01:05PM",Motion Sensor,
Movement,"October 21, 2016 at 01:09PM",Motion Sensor,
Movement,"October 21, 2016 at 01:11PM",Motion Sensor,
Movement,"October 21, 2016 at 01:11PM",Motion Sensor,
Movement,"October 21, 2016 at 01:12PM",Motion Sensor,
Movement,"October 21, 2016 at 01:13PM",Motion Sensor,
Movement,"October 21, 2016 at 01:13PM",Motion Sensor,
Movement,"October 21, 2016 at 01:16PM",Motion Sensor,
Movement,"October 21, 2016 at 01:16PM",Motion Sensor,
Movement,"October 21, 2016 at 01:17PM",Motion Sensor,
Movement,"October 21, 2016 at 01:17PM",Motion Sensor,
Movement,"October 21, 2016 at 01:17PM",Motion Sensor,
Movement,"October 21, 2016 at 01:18PM",Motion Sensor,
Movement,"October 21, 2016 at 01:20PM",Motion Sensor,
Open,"October 21, 2016 at 01:20PM",Wireless Lab door,
Closed,"October 21, 2016 at 01:20PM",Wireless Lab door,
Open,"October 21, 2016 at 01:21PM",Wireless Lab door,
Closed,"October 21, 2016 at 01:21PM",Wireless Lab door,
Open,"October 21, 2016 at 01:21PM",Wireless Lab door,
Movement,"October 21, 2016 at 01:21PM",Motion Sensor,
Closed,"October 21, 2016 at 01:21PM",Wireless Lab door,
Open,"October 21, 2016 at 01:22PM",Wireless Lab door,
Movement,"October 21, 2016 at 01:23PM",Motion Sensor,
Closed,"October 21, 2016 at 01:23PM",Wireless Lab door,
Movement,"October 21, 2016 at 01:23PM",Motion Sensor,
Movement,"October 21, 2016 at 01:24PM",Motion Sensor,
Open,"October 21, 2016 at 01:24PM",Wireless Lab door,
Closed,"October 21, 2016 at 01:25PM",Wireless Lab door,
Movement,"October 21, 2016 at 01:26PM",Motion Sensor,
Movement,"October 21, 2016 at 01:26PM",Motion Sensor,
Movement,"October 21, 2016 at 01:27PM",Motion Sensor,
Movement,"October 21, 2016 at 01:27PM",Motion Sensor,
Movement,"October 21, 2016 at 01:28PM",Motion Sensor,
Movement,"October 21, 2016 at 01:29PM",Motion Sensor,
Closed,"October 21, 2016 at 01:29PM",Wireless Lab door,
Movement,"October 21, 2016 at 01:30PM",Motion Sensor,
Movement,"October 21, 2016 at 01:31PM",Motion Sensor,
Movement,"October 21, 2016 at 01:32PM",Motion Sensor,
Movement,"October 21, 2016 at 01:32PM",Motion Sensor,
Movement,"October 21, 2016 at 01:32PM",Motion Sensor,
Movement,"October 21, 2016 at 01:35PM",Motion Sensor,
Movement,"October 21, 2016 at 01:36PM",Motion Sensor,
Movement,"October 21, 2016 at 01:38PM",Motion Sensor,
Movement,"October 21, 2016 at 01:38PM",Motion Sensor,
Movement,"October 21, 2016 at 01:39PM",Motion Sensor,
Movement,"October 21, 2016 at 01:41PM",Motion Sensor,
Movement,"October 21, 2016 at 01:41PM",Motion Sensor,
Movement,"October 21, 2016 at 01:42PM",Motion Sensor,
Movement,"October 21, 2016 at 01:43PM",Motion Sensor,
Movement,"October 21, 2016 at 01:43PM",Motion Sensor,
Movement,"October 21, 2016 at 01:44PM",Motion Sensor,
Movement,"October 21, 2016 at 01:45PM",Motion Sensor,
Movement,"October 21, 2016 at 01:46PM",Motion Sensor,
Movement,"October 21, 2016 at 01:47PM",Motion Sensor,
Movement,"October 21, 2016 at 01:47PM",Motion Sensor,
Movement,"October 21, 2016 at 01:47PM",Motion Sensor,
Movement,"October 21, 2016 at 01:48PM",Motion Sensor,
Movement,"October 21, 2016 at 01:48PM",Motion Sensor,
Movement,"October 21, 2016 at 01:49PM",Motion Sensor,
Movement,"October 21, 2016 at 01:50PM",Motion Sensor,
Movement,"October 21, 2016 at 01:51PM",Motion Sensor,
Movement,"October 21, 2016 at 01:51PM",Motion Sensor,
Movement,"October 21, 2016 at 01:52PM",Motion Sensor,
Movement,"October 21, 2016 at 01:52PM",Motion Sensor,
Movement,"October 21, 2016 at 01:52PM",Motion Sensor,
Open,"October 21, 2016 at 01:53PM",Wireless Lab door,
Closed,"October 21, 2016 at 01:53PM",Wireless Lab door,
Movement,"October 21, 2016 at 01:53PM",Motion Sensor,
